customer_sk,kmeans_cluster,segment_label
22959,2,😴 Lost Customers
76525,1,😴 Lost Customers
64191,2,😴 Lost Customers
10722,1,😴 Lost Customers
12730,0,😴 Lost Customers
36542,2,😴 Lost Customers
48519,1,😴 Lost Customers
23081,0,😴 Lost Customers
23532,2,😴 Lost Customers
22478,2,😴 Lost Customers
5105,2,😴 Lost Customers
44201,0,😴 Lost Customers
23705,2,😴 Lost Customers
37650,2,😴 Lost Customers
19157,1,😴 Lost Customers
48722,2,😴 Lost Customers
58798,2,😴 Lost Customers
21755,2,😴 Lost Customers
90243,2,😴 Lost Customers
894,1,😴 Lost Customers
66376,2,😴 Lost Customers
25324,1,😴 Lost Customers
44636,1,😴 Lost Customers
40096,2,😴 Lost Customers
7467,2,😴 Lost Customers
5409,2,😴 Lost Customers
2526,2,😴 Lost Customers
86325,2,😴 Lost Customers
7944,2,😴 Lost Customers
32640,2,😴 Lost Customers
69203,0,😴 Lost Customers
23533,2,😴 Lost Customers
66818,2,😴 Lost Customers
8826,2,😴 Lost Customers
6251,2,😴 Lost Customers
28820,2,😴 Lost Customers
49767,2,😴 Lost Customers
6417,2,😴 Lost Customers
14662,2,😴 Lost Customers
48858,2,😴 Lost Customers
2126,1,😴 Lost Customers
40896,2,😴 Lost Customers
27442,2,😴 Lost Customers
29442,2,😴 Lost Customers
79103,1,😴 Lost Customers
7460,2,😴 Lost Customers
72275,2,😴 Lost Customers
74821,2,😴 Lost Customers
37727,2,😴 Lost Customers
60510,1,😴 Lost Customers
66517,2,😴 Lost Customers
32176,0,😴 Lost Customers
26562,2,😴 Lost Customers
11716,2,😴 Lost Customers
98862,2,😴 Lost Customers
57948,0,😴 Lost Customers
49073,2,😴 Lost Customers
615,0,😴 Lost Customers
13983,0,😴 Lost Customers
59031,0,😴 Lost Customers
47655,1,😴 Lost Customers
75811,2,😴 Lost Customers
71853,1,😴 Lost Customers
15117,2,😴 Lost Customers
77318,1,😴 Lost Customers
54676,2,😴 Lost Customers
65872,2,😴 Lost Customers
6415,2,😴 Lost Customers
3896,2,😴 Lost Customers
64448,2,😴 Lost Customers
34059,0,😴 Lost Customers
61274,0,😴 Lost Customers
18229,1,😴 Lost Customers
43870,0,😴 Lost Customers
73687,2,😴 Lost Customers
23698,1,😴 Lost Customers
7830,2,😴 Lost Customers
79464,1,😴 Lost Customers
81340,0,😴 Lost Customers
54802,2,😴 Lost Customers
74956,2,😴 Lost Customers
90269,0,😴 Lost Customers
74316,2,😴 Lost Customers
27326,1,😴 Lost Customers
92153,0,😴 Lost Customers
37293,1,😴 Lost Customers
67067,2,😴 Lost Customers
6645,2,😴 Lost Customers
26597,0,😴 Lost Customers
67877,0,😴 Lost Customers
26006,2,😴 Lost Customers
22686,2,😴 Lost Customers
84061,2,😴 Lost Customers
54954,2,😴 Lost Customers
31908,1,😴 Lost Customers
42328,2,😴 Lost Customers
17295,1,😴 Lost Customers
98431,2,😴 Lost Customers
75407,0,😴 Lost Customers
8172,2,😴 Lost Customers
6203,2,😴 Lost Customers
91983,2,😴 Lost Customers
21536,2,😴 Lost Customers
61110,2,😴 Lost Customers
65705,2,😴 Lost Customers
16985,2,😴 Lost Customers
87167,1,😴 Lost Customers
28292,1,😴 Lost Customers
97827,1,😴 Lost Customers
27600,0,😴 Lost Customers
30110,1,😴 Lost Customers
20782,1,😴 Lost Customers
59724,0,😴 Lost Customers
64400,2,😴 Lost Customers
31243,1,😴 Lost Customers
25468,2,😴 Lost Customers
26419,2,😴 Lost Customers
23033,1,😴 Lost Customers
63047,2,😴 Lost Customers
61646,1,😴 Lost Customers
35522,0,😴 Lost Customers
15109,0,😴 Lost Customers
92546,0,😴 Lost Customers
21030,1,😴 Lost Customers
67908,1,😴 Lost Customers
90971,0,😴 Lost Customers
70203,1,😴 Lost Customers
78119,0,😴 Lost Customers
11998,0,😴 Lost Customers
37571,0,😴 Lost Customers
30662,2,😴 Lost Customers
28673,2,😴 Lost Customers
86837,1,😴 Lost Customers
62019,2,😴 Lost Customers
68979,2,😴 Lost Customers
6863,2,😴 Lost Customers
88796,1,😴 Lost Customers
33290,2,😴 Lost Customers
88011,0,😴 Lost Customers
10857,2,😴 Lost Customers
98216,2,😴 Lost Customers
78616,1,😴 Lost Customers
54739,2,😴 Lost Customers
55095,2,😴 Lost Customers
26486,1,😴 Lost Customers
7601,1,😴 Lost Customers
43402,2,😴 Lost Customers
58962,2,😴 Lost Customers
51202,2,😴 Lost Customers
65526,2,😴 Lost Customers
56966,2,😴 Lost Customers
29128,2,😴 Lost Customers
79817,0,😴 Lost Customers
20483,2,😴 Lost Customers
17519,1,😴 Lost Customers
50898,2,😴 Lost Customers
89456,2,😴 Lost Customers
54755,2,😴 Lost Customers
1685,1,😴 Lost Customers
24459,2,😴 Lost Customers
21482,1,😴 Lost Customers
82583,0,😴 Lost Customers
3392,2,😴 Lost Customers
9814,2,😴 Lost Customers
40710,2,😴 Lost Customers
56679,2,😴 Lost Customers
34980,1,😴 Lost Customers
